scenario,product,category,customer_type,user_activity,time_of_day,day_type,season,weather,discount,urgency,tone,emoji,notification
Lifecycle & Re10tion,Paan Surprise,Ice Cream,Loyal,Inactive,Afternoon,Weekend,Summer,Cold,15%,High,Funny,🍦,Long time no order — welcome back with 15 % off Paan Surprise.
Product Launches,10der Coconut,Ice Cream,Loyal,Home Feed View,Late Night,Weekend,Autumn,Sunny,15%,Medium,Funny,🍦,The combo menu just got better — 10der Coconut is in the mix.
Time & Context,Mint Chocolate,Ice Cream,Occasional,App Open,Evening,Weekday,Autumn,Rainy,Free Delivery,Low,Funny,🍦,Rainy and Mint Chocolate just go together — order now.
Time & Context,Blueberry Cheesecake,Cheesecake,Occasional,App Open,Night,Weekend,Summer,Cloudy,Buy1Get1,High,Warm,🍰,Cloudy and Blueberry Cheesecake just go together — order now.
Discounts & Promotions,Choco Lava Brownie,Bakery Dessert,Occasional,Subscription Page View,Afternoon,Weekend,Spring,Cloudy,20%,Medium,Premium,🧁,Repeat orders made cheaper — Choco Lava Brownie subscription saves you 20 % weekly.
Transactional,Choco Walnut Brownie,Bakery Dessert,New,Order Placed,Morning,Weekday,Spring,Cloudy,0%,Low,Minimal,🧁,Order in — Choco Walnut Brownie is being freshly prepped for you.
Transactional,Salted Caramel Brownie,Bakery Dessert,New,Order Placed,Morning,Weekend,Monsoon,Cold,0%,Low,Minimal,🧁,You're all set. Salted Caramel Brownie order is confirmed.
Time & Context,Premium Tiramisu Jar,Jar Dessert,New,App Open,Night,Weekend,Autumn,Rainy,15%,Low,Premium,🍮,Nothing says weekend like treating yourself to Premium Tiramisu Jar.
Discounts & Promotions,Mango Delight,Ice Cream,Inactive,Subscription Page View,Night,Weekend,Spring,Rainy,15%,Medium,Playful,🍦,Lock in 15 % savings on Mango Delight with a recurring subscription.
Transactional,Coconut Almond Delight,Ice Cream,New,Payment Attempted,Late Night,Weekday,Monsoon,Rainy,0%,High,Playful,🍦,Payment on your Coconut Almond Delight order didn't go through — tap to try again.
Social & Referral,Triple Scoop Sundae,Sundae,Inactive,Home Feed View,Morning,Weekday,Summer,Cold,Free Delivery,Low,Urgent,🍨,Throwing something together this weekday? Triple Scoop Sundae in bulk is sorted.
Cart & Purchase In10t,Tiramisu Twist,Jar Dessert,New,Wishlist View,Afternoon,Weekend,Summer,Rainy,40%,High,Urgent,🍮,Your saved Tiramisu Twist — still calling your name?
Cart & Purchase In10t,Vanilla,Ice Cream,Occasional,Browsing,Morning,Weekday,Winter,Cold,20%,Low,Minimal,🍦,The Vanilla you've been eyeing just got a 20 % cut.
Social & Referral,Strawberry,Ice Cream,Premium,Referral Page View,Morning,Weekday,Spring,Sunny,Buy1Get1,Low,Luxury,🍦,Refer someone and earn a free Strawberry. That's the deal.
Search & Discovery,Mango Shake,Shake,New,Search No Result,Evening,Weekend,Monsoon,Cold,Free Delivery,Low,Urgent,🥤,We searched everywhere — Mango Shake is the closest thing we've got to that.
Cart & Purchase In10t,Choco Lava Cupcakes,Bakery Dessert,Premium,Cart idle 2h,Late Night,Weekend,Summer,Rainy,No Discount,Medium,Minimal,🧁,It's been a whole day since you added Choco Lava Cupcakes. Still interested?
Product Launches,Peanut Butter Cup,Ice Cream,Premium,Home Feed View,Afternoon,Weekend,Autumn,Rainy,30%,Medium,Playful,🍦,Fresh off the menu board: Peanut Butter Cup is now available to order.
Social & Referral,Rose Thandai Kulfi,Kulfi,Inactive,Group Cart View,Afternoon,Weekday,Autumn,Cold,20%,Medium,Friendly,🍡,The more the merrier — split a Rose Thandai Kulfi order and save 20 %.
Lifecycle & Re10tion,Black Forest Pastry,Bakery Dessert,New,First App Open,Night,Weekend,Spring,Cold,25%,Medium,Funny,🧁,First order perk: Black Forest Pastry with 25 % knocked off already.
Social & Referral,Rasmalai Cake Slice,Ice Cream,Loyal,Home Feed View,Afternoon,Weekday,Autumn,Hot,30%,Medium,Funny,🍦,Party dessert handled — Rasmalai Cake Slice family packs available now.
App Updates,Triple Scoop Sundae,Sundae,Loyal,App Open,Late Night,Weekday,Summer,Cloudy,No Discount,Low,Urgent,🍨,We just expanded delivery in Bengaluru — Triple Scoop Sundae now reaches more areas.
Search & Discovery,Mini Brownie Bites,Bakery Dessert,Inactive,Search Performed,Morning,Weekday,Spring,Rainy,15%,High,Minimal,🧁,Circling back to your earlier search — have you tried Mini Brownie Bites yet?
Social & Referral,Red Velvet,Ice Cream,New,Referral Page View,Afternoon,Weekend,Autumn,Rainy,20%,Low,Minimal,🍦,Refer someone and earn a free Red Velvet. That's the deal.
Transactional,Chocolate Brownie Ice Cream,Bakery Dessert,Inactive,Payment Attempted,Night,Weekday,Spring,Rainy,No Discount,High,Friendly,🧁,We couldn't charge for your Chocolate Brownie Ice Cream. Want to retry?
Time & Context,Kesar Pista,Ice Cream,Occasional,App Open,Late Night,Weekday,Summer,Hot,No Discount,High,Urgent,🍦,Nothing says weekday like treating yourself to Kesar Pista.
Search & Discovery,Coffee Crunch,Ice Cream,Loyal,Category Browse,Evening,Weekend,Monsoon,Sunny,40%,Low,Warm,🍦,"This monsoon, adventurous eaters in Mumbai swear by Coffee Crunch."
Festivals & Occasions,Peanut Butter Cup,Ice Cream,Returning,Home Feed View,Late Night,Weekday,Autumn,Cold,20%,Low,Premium,🍦,Your Diwali table is incomplete without Peanut Butter Cup.
Discounts & Promotions,Lychee Rose,Ice Cream,Inactive,App Open,Morning,Weekday,Autumn,Hot,30%,Medium,Minimal,🍦,Thanks for sticking with us — enjoy 30 % off Lychee Rose as a loyalty reward.
Trends & Recommendations,Mango Shake,Shake,New,Home Feed View,Morning,Weekday,Autumn,Hot,0%,Medium,Friendly,🥤,Mango Shake leads the pack this weekday in sales across Bengaluru.
Festivals & Occasions,Tiramisu Jar,Jar Dessert,Premium,Home Feed View,Evening,Weekend,Monsoon,Cold,40%,High,Warm,🍮,"Mark the food holiday correctly — with Tiramisu Jar, obviously."
Trends & Recommendations,Tricolor Kulfi Bar,Kulfi,Loyal,Home Feed View,Afternoon,Weekday,Summer,Sunny,No Discount,Medium,Luxury,🍡,18 customers in Chennai chose Tricolor Kulfi Bar since this afternoon.
Transactional,Kulfi,Kulfi,New,Order Dispatched,Evening,Weekday,Winter,Sunny,No Discount,Medium,Exciting,🍡,Your Kulfi is on the road — estimated arrival: 24 minutes.
Cart & Purchase In10t,Lychee Rose,Ice Cream,Occasional,Cart Saved,Morning,Weekend,Autumn,Hot,15%,High,Urgent,🍦,Wallet-friendly news: Lychee Rose dropped in price by 15 % today.
Lifecycle & Re10tion,Tiramisu Twist,Jar Dessert,Inactive,Order Delivered,Afternoon,Weekday,Monsoon,Cloudy,0%,High,Funny,🍮,Rate your Tiramisu Twist — it only takes a second.
Discounts & Promotions,Banana Caramel Swirl,Ice Cream,Returning,App Open,Late Night,Weekday,Summer,Hot,25%,High,Warm,🍦,"Flash offer on Banana Caramel Swirl: 25 % discount, no code needed."
Product Launches,Strawberry,Ice Cream,Loyal,Home Feed View,Afternoon,Weekday,Monsoon,Hot,15%,Low,Minimal,🍦,Menu update: Strawberry makes its debut today in Delhi.
Product Launches,Coffee Crunch,Ice Cream,New,Home Feed View,Afternoon,Weekend,Autumn,Cloudy,30%,Low,Exciting,🍦,Fresh off the menu board: Coffee Crunch is now available to order.
Social & Referral,Coconut Almond Delight,Ice Cream,Occasional,Group Cart View,Morning,Weekend,Spring,Hot,10%,Low,Friendly,🍦,The more the merrier — split a Coconut Almond Delight order and save 10 %.
Product Launches,Black Currant Bliss,Ice Cream,New,Home Feed View,Evening,Weekend,Monsoon,Cold,25%,Medium,Urgent,🍦,New combo alert: Black Currant Bliss is now part of our mix-and-match bundle.
Transactional,Choco Chip Cookie Sandwich,Bakery Dessert,Loyal,Order Delivered,Morning,Weekday,Monsoon,Sunny,No Discount,Low,Funny,🧁,Delivered in Bengaluru. Hope you love the Choco Chip Cookie Sandwich.
Social & Referral,Cookies n' Cream,Bakery Dessert,Inactive,Referral Page View,Morning,Weekend,Winter,Rainy,20%,Low,Funny,🧁,"Share your link — friend joins, you get 20 % off Cookies n' Cream."
Trends & Recommendations,Strawberry,Ice Cream,Premium,Home Feed View,Afternoon,Weekend,Winter,Cloudy,0%,Low,Urgent,🍦,Crowd verdict in Mumbai: Strawberry wins this week.
Transactional,Lychee Rose,Ice Cream,Occasional,Order Placed,Afternoon,Weekend,Monsoon,Hot,0%,Low,Warm,🍦,Received! Lychee Rose will be ready to go shortly.
Cart & Purchase In10t,Lychee Rose,Ice Cream,Inactive,Order History View,Morning,Weekend,Winter,Hot,No Discount,Medium,Funny,🍦,Your morning ritual — Lychee Rose on repeat.
Product Launches,Cookie Dough Delight,Bakery Dessert,Returning,Home Feed View,Late Night,Weekend,Autumn,Sunny,50%,Low,Warm,🧁,Don't sleep on Cookie Dough Delight — it's a limited release this autumn.
Lifecycle & Re10tion,Triple Chocolate Brownie Sundae,Sundae,Returning,App Open,Afternoon,Weekday,Winter,Cloudy,30%,Medium,Minimal,🍨,Protect that 8-week streak — order Triple Chocolate Brownie Sundae before midnight.
Cart & Purchase In10t,Banana Caramel Swirl,Ice Cream,Occasional,Cart idle 6h,Afternoon,Weekend,Winter,Sunny,50%,Medium,Premium,🍦,It's been half a day since you added Banana Caramel Swirl. Still interested?
Product Launches,Choco Lava Brownie,Bakery Dessert,Premium,Home Feed View,Afternoon,Weekday,Monsoon,Cloudy,20%,High,Minimal,🧁,Menu update: Choco Lava Brownie makes its debut today in Delhi.
Festivals & Occasions,Sorbet Cup,Sorbet,Returning,App Open,Afternoon,Weekday,Summer,Rainy,0%,Medium,Playful,🍧,Every occasion is better with Sorbet Cup on the side.
Discounts & Promotions,Vanilla Bean,Ice Cream,New,App Open,Afternoon,Weekend,Summer,Cloudy,25%,High,Playful,🍦,Act before afternoon ends: Vanilla Bean at 25 % off right now.
Trends & Recommendations,Mini Brownie Bites,Bakery Dessert,Inactive,Order History View,Morning,Weekday,Summer,Rainy,Free Delivery,High,Urgent,🧁,You have a type — and Mini Brownie Bites fits it perfectly.
Discounts & Promotions,Belgian Chocolate,Ice Cream,New,Subscription Page View,Evening,Weekday,Monsoon,Sunny,20%,Low,Urgent,🍦,Repeat orders made cheaper — Belgian Chocolate subscription saves you 20 % weekly.
App Updates,Mint Chocolate Chip,Ice Cream,Occasional,App Open,Late Night,Weekend,Autumn,Hot,0%,Low,Warm,🍦,New in this update — save your Mint Chocolate Chip preferences for faster ordering.
Trends & Recommendations,Triple Chocolate Brownie Sundae,Sundae,Returning,Home Feed View,Afternoon,Weekend,Autumn,Cloudy,30%,High,Urgent,🍨,"Since afternoon, 73 orders for Triple Chocolate Brownie Sundae came in from Hyderabad."
Time & Context,Coffee Toffee Crunch,Ice Cream,Inactive,App Open,Morning,Weekday,Autumn,Cold,20%,Low,Warm,🍦,Weekday energy in Mumbai is perfect for ordering Coffee Toffee Crunch.
Transactional,Rasmalai Cake Slice,Ice Cream,Premium,Order Placed,Morning,Weekend,Monsoon,Sunny,0%,Low,Playful,🍦,Order in — Rasmalai Cake Slice is being freshly prepped for you.
Time & Context,Pistachio Rose,Ice Cream,Returning,App Open,Evening,Weekend,Summer,Hot,40%,Medium,Minimal,🍦,Past midnight and craving something? Pistachio Rose to the rescue.
Festivals & Occasions,Sorbet Cup,Sorbet,Returning,App Open,Afternoon,Weekday,Monsoon,Rainy,30%,Low,Minimal,🍧,Treat yourself this weekday — you deserve Sorbet Cup.
App Updates,Mango Cheesecake Jar,Cheesecake,Premium,App Open,Late Night,Weekend,Autumn,Rainy,0%,Low,Minimal,🍰,New delivery zones open in Kolkata: your Mango Cheesecake Jar can now reach you.
Time & Context,Mint Chocolate Chip,Ice Cream,Occasional,App Open,Morning,Weekend,Spring,Hot,25%,Low,Funny,🍦,"When it's hot in Mumbai, Mint Chocolate Chip is all you need."
Festivals & Occasions,Red Velvet,Ice Cream,Loyal,Home Feed View,Evening,Weekend,Winter,Rainy,15%,Low,Urgent,🍦,"Mark the food holiday correctly — with Red Velvet, obviously."
Product Launches,Lychee Rose,Ice Cream,Returning,Notify Me Clicked,Evening,Weekday,Spring,Hot,No Discount,High,Exciting,🍦,Lychee Rose flew off the shelves last time. It's back now in Pune.
Lifecycle & Re10tion,Strawberry Cheesecake,Cheesecake,Loyal,Inactive,Late Night,Weekday,Winter,Sunny,15%,Low,Minimal,🍰,It's been 23 days. We saved 15 % off Strawberry Cheesecake just for your return.
Discounts & Promotions,Guava Chili Sorbet,Sorbet,New,Coupon Page View,Late Night,Weekday,Spring,Sunny,15%,High,Minimal,🍧,"Coupon unlocked: 15 % off Guava Chili Sorbet, ready to use."
Festivals & Occasions,Blueberry Cheesecake,Cheesecake,Premium,Home Feed View,Late Night,Weekday,Monsoon,Cold,10%,Low,Warm,🍰,Swee10 the Eid celebrations with Blueberry Cheesecake this year.
Festivals & Occasions,Coconut Almond Delight,Ice Cream,Premium,Home Feed View,Late Night,Weekday,Autumn,Cold,10%,Medium,Warm,🍦,Swee10 the Brownie Day celebrations with Coconut Almond Delight this year.
Cart & Purchase In10t,Gulab Jamun Cheesecake,Cheesecake,New,Order History View,Evening,Weekend,Autumn,Cloudy,30%,High,Friendly,🍰,Your evening ritual — Gulab Jamun Cheesecake on repeat.
Cart & Purchase In10t,Mango Sorbet,Sorbet,Loyal,Wishlist View,Afternoon,Weekday,Monsoon,Hot,10%,High,Minimal,🍧,Your saved Mango Sorbet — still calling your name?
Lifecycle & Re10tion,Mango Shake,Shake,Inactive,App Open,Morning,Weekend,Summer,Rainy,Free Delivery,Low,Warm,🥤,You're on a 8-week run. Don't let Mango Shake be the one that breaks it.
Discounts & Promotions,Sheer Khurma Kulfi,Kulfi,Occasional,Subscription Page View,Late Night,Weekday,Summer,Hot,20%,Medium,Premium,🍡,Lock in 20 % savings on Sheer Khurma Kulfi with a recurring subscription.
Time & Context,Belgian Brownie Bites,Bakery Dessert,Occasional,App Open,Evening,Weekend,Autumn,Cloudy,20%,Low,Premium,🧁,Nothing says weekend like treating yourself to Belgian Brownie Bites.
Product Launches,Strawberry Cheesecake,Cheesecake,Occasional,Home Feed View,Late Night,Weekend,Summer,Rainy,No Discount,Low,Playful,🍰,New combo alert: Strawberry Cheesecake is now part of our mix-and-match bundle.
Transactional,Black Currant Bliss,Ice Cream,Premium,Order Delivered,Night,Weekday,Monsoon,Cloudy,No Discount,Low,Exciting,🍦,Delivered in Kolkata. Hope you love the Black Currant Bliss.
Festivals & Occasions,Triple Chocolate Brownie Sundae,Sundae,Occasional,Home Feed View,Night,Weekend,Winter,Cloudy,20%,High,Funny,🍨,Your Valentine's Day table is incomplete without Triple Chocolate Brownie Sundae.
Social & Referral,Chocolate Brownie Ice Cream,Bakery Dessert,Premium,Home Feed View,Evening,Weekend,Autumn,Rainy,No Discount,Low,Urgent,🧁,Throwing something together this weekend? Chocolate Brownie Ice Cream in bulk is sorted.
Trends & Recommendations,Lychee Rose,Ice Cream,Returning,Home Feed View,Night,Weekday,Spring,Cloudy,Free Delivery,Medium,Exciting,🍦,Crowd verdict in Hyderabad: Lychee Rose wins this week.
Cart & Purchase In10t,Black Currant,Ice Cream,Premium,Cart idle 6h,Afternoon,Weekday,Monsoon,Rainy,0%,Low,Warm,🍦,Black Currant is waiting in your bag. It's been half a day.
Festivals & Occasions,Gingerbread Kulfi Bar,Kulfi,Occasional,App Open,Night,Weekday,Autumn,Hot,15%,High,Exciting,🍡,Every occasion is better with Gingerbread Kulfi Bar on the side.
Product Launches,Nutella Brownie,Bakery Dessert,Returning,Home Feed View,Morning,Weekend,Monsoon,Cloudy,Free Delivery,Medium,Funny,🧁,Don't sleep on Nutella Brownie — it's a limited release this monsoon.
Time & Context,Sorbet Cup,Sorbet,Inactive,App Open,Evening,Weekend,Spring,Sunny,50%,Medium,Friendly,🍧,Sunny and Sorbet Cup just go together — order now.
Trends & Recommendations,Blue Velvet Cloud,Ice Cream,Loyal,Home Feed View,Morning,Weekday,Autumn,Sunny,15%,Low,Urgent,🍦,"Since morning, 44 orders for Blue Velvet Cloud came in from Delhi."
Cart & Purchase In10t,Banana Caramel Swirl,Ice Cream,Premium,Wishlist View,Late Night,Weekday,Autumn,Sunny,Buy1Get1,High,Warm,🍦,You bookmarked Banana Caramel Swirl earlier. Shall we move it to your cart?
Trends & Recommendations,Sorbet Cup,Sorbet,Occasional,Home Feed View,Evening,Weekend,Winter,Sunny,Buy1Get1,Low,Funny,🍧,Sorbet Cup leads the pack this weekend in sales across Mumbai.
Trends & Recommendations,Mango Delight,Ice Cream,Returning,Home Feed View,Evening,Weekday,Autumn,Cloudy,40%,High,Premium,🍦,Crowd verdict in Kolkata: Mango Delight wins this week.
Product Launches,Paan Surprise,Ice Cream,Returning,Home Feed View,Late Night,Weekend,Winter,Cold,20%,High,Luxury,🍦,Short run only: Paan Surprise won't be around forever.
Search & Discovery,Rose Thandai Kulfi,Kulfi,New,Scrolled Category,Afternoon,Weekday,Spring,Hot,30%,Medium,Funny,🍡,Rose Thandai Kulfi showed up in your browsing. Ready to take it further?
App Updates,Mint Chocolate,Ice Cream,Inactive,App Open,Night,Weekday,Autumn,Rainy,No Discount,Low,Friendly,🍦,New delivery zones open in Bengaluru: your Mint Chocolate can now reach you.
Time & Context,Kesar Pista,Ice Cream,Premium,App Open,Morning,Weekend,Summer,Cold,40%,Medium,Luxury,🍦,Morning deliveries are still running — Kesar Pista is available now.
Discounts & Promotions,Gingerbread Kulfi Bar,Kulfi,Loyal,App Open,Morning,Weekend,Spring,Rainy,50%,High,Minimal,🍡,Deal alert — Gingerbread Kulfi Bar is 50 % off for the next sixty minutes only.
Cart & Purchase In10t,Nutella Stuffed Croissant,Bakery Dessert,Occasional,Cart idle 2h,Morning,Weekday,Summer,Hot,0%,High,Premium,🧁,It's been half a day since you added Nutella Stuffed Croissant. Still interested?
App Updates,Premium Tiramisu Jar,Jar Dessert,Premium,App Open,Evening,Weekday,Autumn,Rainy,No Discount,Low,Premium,🍮,Update: you can now track your Premium Tiramisu Jar delivery live on the map.
Festivals & Occasions,Roasted Almond Fudge,Ice Cream,Loyal,Home Feed View,Night,Weekend,Spring,Cold,20%,Low,Friendly,🍦,Your Ganesh Chaturthi table is incomplete without Roasted Almond Fudge.
Discounts & Promotions,Nutella Brownie,Bakery Dessert,Returning,Subscription Page View,Evening,Weekday,Monsoon,Hot,20%,Low,Urgent,🧁,Repeat orders made cheaper — Nutella Brownie subscription saves you 20 % weekly.
Trends & Recommendations,Red Velvet Cheesecake Bites,Cheesecake,Inactive,Home Feed View,Afternoon,Weekend,Monsoon,Rainy,No Discount,Medium,Luxury,🍰,Red Velvet Cheesecake Bites leads the pack this weekend in sales across Hyderabad.
Cart & Purchase In10t,Mango Tango,Ice Cream,Inactive,Cart Saved,Afternoon,Weekend,Spring,Rainy,15%,Medium,Urgent,🍦,The Mango Tango you've been eyeing just got a 15 % cut.
